pca0,pca1,target,pred,success
-0.2214008359223094,0.18716057268511288,4,4,1
-0.26589223474546386,-0.2937845888312575,0,0,1
0.2869568416663488,0.6733074280627375,4,4,1
1.454982420522321,-0.06623352099191931,2,3,0
-0.24599742651460021,-0.19992462162741453,5,5,1
-0.26134945021544437,-0.16158369455666743,4,4,1
-0.23442715693373423,-0.10307259395088804,1,1,1
-0.22361703759273444,-0.2064266338436096,5,5,1
0.06691823389474193,-0.33225855983559416,5,5,1
-0.22543547663644534,-0.20904897746756207,2,2,1
-0.236144313209537,-0.19247299169476104,0,0,1
-0.20605751072833756,0.17532564660082975,1,1,1
-0.24895546312929454,-0.20613459668076525,2,2,1
-0.21682997688672176,-0.18139639986764605,5,5,1
-0.2511807494447826,-0.20432017954852635,0,0,1
-0.22596705014561166,0.11225216610834715,0,0,1
0.8299325263998925,1.5889734873450414,3,3,1
-0.23875273966163138,-0.08916866019375319,1,1,1
-0.23056164490143818,-0.2303794428694984,2,2,1
-0.2445669665980259,-0.20099643403916548,1,1,1
-0.17232632314497626,0.3843786258744856,2,2,1
-0.2459377969669359,-0.19981960135841276,5,5,1
-0.24441923536752203,-0.19266359791190224,0,0,1
-0.18053603232694343,0.28442582204910977,4,4,1
-0.24155597138284696,-0.19618702374135316,0,5,0
-0.2287709127806571,-0.19261186051634113,5,5,1
-0.033598360992642316,-0.30878058943598863,2,2,1
-0.21350861463437099,-0.15391353751016254,1,1,1
-0.2378965620972338,-0.1957362944350642,5,5,1
-0.22358498595361112,-0.3107128595949692,0,0,1
-0.19954950957204673,-0.21778573465243156,2,2,1
-0.21026825281089903,0.1504729555668858,4,4,1
-0.23772588632520453,-0.08957762672112396,1,1,1
-0.23172132539156465,-0.18205318371585807,2,2,1
0.3334880289992266,0.9838132121224638,3,3,1
-0.24011399978081246,-0.17762284098199485,2,2,1
-0.2547191710516246,-0.18305789029279942,4,4,1
-0.23407949688084548,-0.12668795215370085,5,5,1
0.06787921930869302,-0.3367176875207301,5,5,1
-0.15130078906558936,0.3396626511416465,5,5,1
0.26878959512025463,0.3880654723297792,5,5,1
-0.2476673228584053,-0.15800779759745165,1,1,1
-0.2410148724075417,0.02851016018371411,0,0,1
-0.26589223474546386,-0.2937845888312575,4,0,0
-0.24602699520050544,-0.19979219813407098,5,2,0
0.255794641336121,0.421546002112857,4,5,0
-0.26542801503589175,-0.29370313975627843,0,0,1
-0.22402509506477414,-0.20305525898883545,0,5,0
0.10703911024065237,-0.27532780536383494,1,1,1
-0.2440209334140462,-0.19511812303002843,1,2,0
